Event,hive_identity_id,hive_age,Longitude,Latitude,Months,Crop diversity,Distance from roads,Distance from water,DEM,Slope,NDVI,Average temperature,Maximum temperature,Minimum temperature,Precipitation,Sugar-feeding frequency,Pollen-feeding frequency,Hive grading,Oxalic-treatment frequency,Miticide-treatment frequency,Formic-treatment frequency,Movement,Relocation frequency
0,123121,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123121,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123121,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123120,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123120,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123120,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123109,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123109,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
1,123109,190,-121.70895,38.603766,8,25,0,0.0,8.373262,1.484349,0.257136,25.65956,34.96357,16.32595,0.433155,0,0,3,0,0,0,1,1
0,123119,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123119,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123119,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123118,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123118,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
0,123118,197,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123054,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123054,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123054,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123124,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123124,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123124,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123125,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123125,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
0,123125,197,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123130,114,-121.143539,36.572487,5,1,0,0.0,473.2659,16.43635,0.10895,15.15528,22.87548,7.443876,23.23591,0,0,3,0,0,0,0,0
0,123130,162,-121.143539,36.572487,7,1,0,0.0,473.2659,16.43635,0.161436,22.61292,33.54167,11.7632,0.0,0,0,3,1,0,0,0,0
1,123130,211,-121.143539,36.572487,8,1,0,0.0,473.2659,16.43635,0.119521,22.37095,32.27264,12.45271,0.918598,1,0,1,0,1,0,0,0
0,123123,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123123,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
1,123123,210,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123122,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123122,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
1,123122,210,-121.116903,36.554155,8,1,0,0.0,516.2183,15.34503,0.111794,22.34023,32.1488,12.51371,0.916519,1,0,2,0,1,0,0,0
0,123108,114,-121.116903,36.554155,5,1,0,0.0,516.2183,15.34503,0.105649,15.17774,22.83719,7.528036,23.07791,0,0,3,0,0,0,0,0
0,123108,162,-121.116903,36.554155,7,1,0,0.0,516.2183,15.34503,0.163832,22.54721,33.36964,11.80196,0.0,0,0,3,1,0,0,0,0
