Event,hive_identity_id,hive_age,Longitude,Latitude,Months,Crop diversity,Distance from roads,Distance from water,DEM,Slope,NDVI,Average temperature,Maximum temperature,Minimum temperature,Precipitation,Sugar-feeding frequency,Pollen-feeding frequency,Hive grading,Oxalic-treatment frequency,Miticide-treatment frequency,Formic-treatment frequency,Movement,Relocation frequency
0,80058,335,-71.849508,48.856879,6,1,0,6719.048,166.7646,2.063011,0.506254,15.64891,32.47367,-0.309716,91.64495,0,2,2,1,0,0,0,0
0,80058,344,-76.445622,45.531492,6,3,0,9502.169,101.8722,2.625927,0.723239,17.28801,34.59959,4.219735,54.95613,0,0,2,0,0,0,1,1
0,80058,364,-76.445622,45.531492,7,3,0,9502.169,101.8722,2.625927,0.778022,20.40679,31.88954,8.495222,92.99817,0,0,2,0,0,0,0,0
0,80058,414,-76.445622,45.531492,9,3,0,9502.169,101.8722,2.625927,0.728294,16.36548,32.78407,3.0665,22.63401,1,0,2,0,0,0,0,0
0,78984,313,-74.043425,45.570528,5,4,0,9502.169,84.17504,3.912382,0.666152,7.466989,30.53896,-4.772807,63.69308,1,1,2,0,0,0,0,0
0,78984,352,-71.856845,48.857064,6,1,0,6719.048,166.7646,2.063011,0.506254,15.64891,32.47367,-0.309716,91.64495,0,1,2,1,0,0,1,1
0,78984,361,-76.445622,45.531492,6,3,0,9502.169,101.8722,2.625927,0.723239,17.28801,34.59959,4.219735,54.95613,0,0,2,0,0,0,1,1
0,78984,381,-76.445622,45.531492,7,3,0,9502.169,101.8722,2.625927,0.778022,20.40679,31.88954,8.495222,92.99817,0,0,2,0,0,0,0,0
0,78984,431,-76.445622,45.531492,9,3,0,9502.169,101.8722,2.625927,0.728294,16.36548,32.78407,3.0665,22.63401,1,0,2,0,0,0,0,0
0,17376,725,-74.524293,45.615841,5,2,0,0.0,62.3755,2.085383,0.63229,10.15906,31.4562,-4.547573,54.60461,0,1,3,0,0,0,0,0
